Name,Type,Skills,Bio,File_name
Florentino,['warrior'],"['Blossom', 'Triple Threat', ""Gentlemen's Duel""]","Flowers, women - I desire all that is beautiful.As the sole heir to the House of Perfume, Florentino's romantic adventures were as well-known as his lavish balls.The people of Casanova spoke of extravagant scenes of great halls and illustrious guests and their retinues of servants numbering in the hundreds if not thousands, endless lines of carts bringing fine food to the estate along paths paved with fresh flowers, and eager noble ladies in their best dresses and jewels.Even the common folk benefited from the affair. The flowers that decorated the road were given out after the party started, filling peasant homes with fresh fragrance for days, while leftover food was given to the poor and needy, a rare opportunity for them to put meat on the table.Considering the illustrious martial history of the House of Perfume, Florentino's lavish lifestyle was generally frowned upon. My stable boy could beat Lord Florentino with one hand tied behind his back was a running joke among high society. And while Florentino garnered praise from those who benefited from his generosity (or indifference), to many of the common folk he was but a spoiled brat blessed with more gold than he knows what to do with.Florentino himself was thoroughly unconcerned about such views. From a very young age he knew he was different from other people. His blood has given him wealth, title and talent, giving him the freedom to live as he pleased, and he chose the easiest way of life by far.The House of Perfume's wealth and prestige was built upon the genius and hard work of eleven generations. What better way to honor their wisdom than to show the world the result of this hard work?As war raged on the frontlines, Florentino continued to sit comfortably in the rear, enjoying all that life has to offer. Yet the Duke of Rose did nothing to curb his lavish lifestyle. Florentino had broken no law or decree. Far from it, his lavish spending drove trade and taxation in the land, providing the common folk with opportunity for work and luring many to move to Casanova.This has allowed the Knights of Rose to enjoy a steady supply line, not just in arms and food, but in soldiers as well.And so the Duke of Rose turned an eye from Florentino's lifestyle - until it came a time when Florentino built a grand and majestic ship, inviting honored guests to join him to sail upstream into the mysterious Elborne Woods and see the beauty of the elves with their own eyes. The ambitious plan drew the attention of the realm, and every noble considered it an honor to receive an invitation to board the ship.Even Astrid, the Duke of Rose's only granddaughter, joined the trip with her retinue of knights. She thought little of the famously spoiled young noble, but the war depended on Casanova's stability, and Casanova's stability depended on Florentino coming back from this trip in one piece.Do as I tell you, and I will make sure your head stays on your shoulders. Those were the only words Astrid said to Florentino before she turned and walked away. Florentino just smiled and shrugged - he is always kind and patient with the ladies, especially the beautiful ones.The ship returned after just one month, hardly enough to even reach the edge of the Elborne Woods. Curious questions followed, of course, but they received only one response from the noble guests on the trip - determined, absolute silence. All people knew was that Astrid returned calmer, steadier, looking more mature than she ever had been - and she asked to study with Florentino, in the most solemn and dignified ceremony possible. The Madness of Astrid soon become the talk of the kingdom.No explanation was forthcoming until several years later, when the Okka Kingdom in the north entered into alliance with the Normans in the south. It turmed out that Florentino's ship had barely entered Okka territory, when they were attacked by Okka Knights corrupted by the Abyss. When Astrid was injured by an assassin in the chaos, it was Florentino who drew his sword and stepped forward, defeating the assassin and the attacking knights with moves beyond the comprehension of normal men, saving Astrid's life.The guests on the ship looked on in shock at this side of Florentino that they have never seen or even imagined. To avoid any possible political implications, all those involved were bound to an oath of absolute silence. Even so, Astrid's determination to study with him was the source of much commotion, something that Florentino would much rather have done without. But there was no denying the request of a lady so beautiful in appearance, yet so fiery and determined in soul.Well, I never could turn down a beautiful girl!",Florentino_image.jpg
Riktor,['warrior'],"['Jungle Strike', 'Retaliate', 'Mark of the Hunter']","“Hey, dude, have you seen a demon before? I mean, an actual demon, the one that can think and speak.”“Of course I have.”“Really? What does it look like?”“Well, I didn’t see it clearly. I was in a battle with it. It bashed my head with a hammer so hard that I fainted. When I woke up, the battle had ended already.”“Haha, no wonder they call you Riktor the Boaster! You look hilarious when you act serious.”“Boaster? Hey, I wasn’t boasting!” Riktor muttered, taking a consoling sip of the bitterly sour malt from his hip flask.He was telling the truth.As a former Demon Hunter, Riktor used to battle with real demons alongside his comrades. This group of super warriors was modified with Abyssal Essence, which significantly enhanced their individual strength and stamina to a whole new level. Thus, the warriors were enabled to directly confront the demons.It was the glorious era of demon hunting. In regions where mobs of dark creatures wrecked havoc on, the Demon Hunters were highly respected by the people, even more so than any legion. However, with the occurrence of the Descendants and the emergence of “War of Purification”, the Demon Hunters, who were closely related to the Descendants, were in jeopardy.Even though they passed a series of magic examinations, their damaged reputation was beyond saving. In the end, all Demon Hunters were enlisted in the army and deployed at the front line in the South. They pledged allegiance to the right side by sacrificing themselves in the war with the abyssal force. Riktor is one of the few surviving Demon Hunters.Upon the review and evaluation by the Magic Committee, Riktor was allowed to return to the human community after the war. With him were the salaries he had been saving and several hundreds of the military badges of his passed fellows. He knew that what his comrades sacrificed and achieved would remain in this world as long as he stayed alive.“The past is even more addictive than alcohol!” Riktor awoke from his nostalgic dreams to find out his hip flask was running dry. Gently he tugged it in his pocket, for he had to ration the remainder before he reached the supply depot. Otherwise, the lonely, long nights would be unbearable. At that moment, he prayed that the loathsome creatures lurking in the dark would reveal themselves at once, so that he could finish his duty of “demon hunting” as soon as possible.Nowadays, Riktor works as a freelance mercenary. Seven days ago, he joined a caravan that had been stalked by the dark creatures for days by disguising as a lost member of his own group. What truly attracted the evil creatures was a wealth of Magic Ores from the great desert in the west inside the truck driven by eight mounts.At first, the mercenaries of the caravan did not get along with the clumsy Riktor. After Riktor handed out a small packet of silver, they gladly welcomed him. For them, silver is almost as precious as gold. That is why when Riktor volunteered to take the watch at night, the chief declined his request and asked him to go to bed, reassuring him, “On this trade route, no one dares to mess with us.”“It’s not humans that I’m concerned!” Riktor murmured, taking out a silver again. He whispered to the chief, “No one wonders where you are at this time of the night. Why don’t you take some rest now to save some energy for the day?”Just like that, Riktor “paid” his way to take on the night shift. Yet, he was still a rookie, so the chief sent Layne to keep him company. Riktor did not care at all. In fact, he completely immersed himself into the dark night.“How much longer can you hide?” Riktor gazed at the bonfire, talking to himself. All out a sudden, a gust of wind blew in, as if answering Riktor’s question. Temperature around the campsite plummeted, and Riktor realized that the prey he had been awaiting was about to show up.The abrupt changes in the environment awoke the mercenaries. They were not as sensitive to the dark creatures as Riktor, but years of experience in battle had granted them an acute sense of danger. When they came out of the camp, fully armed, they witnessed a nightmarish scene: Riktor, swinging his sword, was battling with a swarm of horrific dark creatures.“Although the title of Demon Hunter no longer exists, I never forget my responsibilities as a Demon Hunter!” Riktor took a look at the prey in front him, mumbling, “I know that you’d never forget the danger and horror this title brought to us. No matter what, I’ll not walk away.”He pointed his sword to the sky, as if the Goddess of Light tore the darkness apart with her finger.“I fight where the darkness befalls!”",Riktor_image.jpg
Sephera,['mage'],"['Water Spirits', 'Wall of Water', 'Tide of Life']","Water, the source of all life.Like a blue ribbon, the Losarth River gentry wraps around Carano, giving life to this border city. In the middle of the river stands a great statue of the legendary mage Sephera, founder of the Magister Council, Archmagister of the Academy, and the one who single-handedly created the Miracle of Losarth.Sephera's first taste of magic came from her family's mage retainer.Many nobles kept a mage retainer, whom they sponsored and supported in exchange for the protection of the family and its lands. Not only is the mage responsible for dealing with any issues having to do with the arcane or unnatural: the strength of a family's mage retainer also reflects the power and prestige of the family itself.Children who show a talent for magic are often sent to study with mages, perhaps even taking on their master's mantle once they complete their studies, becoming their family's new guardian. Among these already talented individuals, Sephera stood out.From a very young age she had an innate grasp of the arcane, soon surpassing  her mentor. She was also a devout follower of the Temple, often taking part in the Temple's religious and charitable activities, and would have joined the Temple, were it not for her duty to her own family.The uninitiated may find Sephera's dual roles as an apprentice mage and a devout believer to be in conflict, but as told by the Scunthor, the First Mage, the first magic came from the gods and was taught to humans by the demi-gods in the Primal Era, thus becoming the mortal expression of the immortal divine, which humans have been permitted to wield. And so the Temple welcomed Sephera with open arms. Having suffered greatly during the First Invasion, the Temple was eager to attract believers, especially one as powerful as Sephera. Yet the renaissance of the Temple inevitably came into conflict with the interests of the noble class, as well as the mages who served them. Sephera was caught between the two, mage's staff in one hand, the Temple's teaching in the other.This delicate balance was broken by the War of Purification. Far too many mages had been allowed to conduct inhumane experiments in dark magic for far too long in the name of knowledge. Their exposure by the Temple turned public opinion against dark magic. Already a well-known mage, Sephera joined the war with illustrious allies such as Dirak and Dolsey, leading the vanguard in the crusade against dark magic.As the war raged on, however, more and more factions were caught in the fray. With many of the old nobles mired in the war due to their connection with dark mages, younger houses emerged and tried to take advantage, escalating the war for their own ends. At the frontlines, Sephera felt matters spinning out of control and tried to be a voice of reason, but before she could come up with a plan, she found her comrade Dolsey caught in the middle of the conflict.To help Dolsey and other innocent mages, and to bring the movement back in line with its original aim, Sephera leveraged her family's influence and tried to seek help from the Temple. But too many within the Temple had too much at stake in this war – aligned with the new houses, they had too much to gain from the fall of the old nobles and the mages. They could not stop now.Why does the light I believe in relegate me to the shadows? In the face of the Temple's indifference, Sephera asked herself herself. She began to understand why Dirak and Dolsey were so wary of her faith, despite being of one mind with her on so many other things.But Sephera is a mage. When justice is absent, she turns to magic. With Dirak and her other comrades, Sephera saved the lives of many innocent mages. A movement that began as an opposition to dark magic now found itself in conflict with the new houses as well.Eventually, Sephera and her allies had to flee to the border regions, where the power of the nobles could not touch them. Many mages joined them, either out of a sense of duty or just pure necessity. This was what became the Magister Council, founded at Carano.The Council transformed the backwater town of Carano, building great towers that scrape the sky, calling to all the mages who previously had to fight their own battles to join forces and defend their way of life. And for hundreds of years since, its founder and leader Sephera has defended this new city, just as the river she created does.Those blessed with great power are obliged to protect those without it.",Sephera_image.jpg
Quillen,['assassin'],"['Mutilate', 'Decimate', 'Assassinate']","“The survival and dignity of mankind is solely reliant on swords and guns.”Quillen is the rising political star in the Free Federation. Young, handsome, sophisticated, composed, erudite, eloquent and cunning at the same time, Quillen would have been on his way to the top of authority had he not been radical on his political stance.However, Quillen never planned on changing his standpoint. After all, he is still much younger than those aged politicians. In other words, he has the time and patience to wait until the senile ones retire, or even meet their end. Quillen has a mixed feeling about his decision and laments the fact that mankind does not have a long lifespan.The difference of lifespan fully embodies human’s individual quality. Compared to other intelligent beings, humans do not have the ability to pass on their potentials and are not blessed by magic talents. In times of chaos, it is necessary for humans to depend on the protection of the Holy Hall to secure their land, food and lives.“Nowadays, even though we humans have occupied most of the continents and mastered magic and technology that is on par with the divine power, we are still facing threats from other species. From demons in the abyss and the elves in the woods to demigods in the Holy Hall, they have what it takes to wipe out all human beings. We have to stay alert. The allies today might be our enemies tomorrow!”This was part of Quillen’s speech during the promotion of “Theory on Foreign Threats”. Starting out as an ordinary citizen, he works his way up in his political career. His political standpoint not only wins the voters’ recognition, but also earns the support from the radicals. But more importantly, he received the invitation from the “Shadow Hand”.“Purge the aliens! Cleanse the world!” As an extreme racist organization, the Shadow Hand advocates even more radical concepts than Quillen does. They believe that violence is the only means to eradicate those imposing threats to mankind, so that humans can obtain absolute control of the world.Quillen does not reply the envoy from the mysterious organization right away. He is thrilled at the offer as he is able to work with those who share his thoughts, but he also realizes that he still lacks the power and strength to reach his ultimate goal. He simply cannot afford to put all his eggs in one basket.The envoy seems to have anticipated the outcome, so he presents on a desk a series of proofs manifesting the power of the organization. From politics to economics, and technology to military, members of this mysterious organization are virtually everywhere.The envoy’s sincerity and the desk of proof seems to affect Quillen’s thinking: he can almost envisage a bright future ahead of him. At that moment, in order to achieve his dream, he has to take risks.Since then, being a councilor in the federal committee is just a disguise. To Quillen, recruiting new members for the Shadow Hand and training killers are his main duties to pledge allegiance. In return, the organization paves the way for his career, thus pushing him all the way up to the leading position.Quillen, a decent, discreet politician by day, and an extremist who does what it takes to exterminate every alien by night, lives under his motto: survival of the fittest!",Quillen_image.jpg
Elsu,['marksman'],"['Sentinel', 'Snipe', 'Disengage']","When the rich mines had been completely exhausted, Mildar, the city that stands on steel, lost its glory.Industrial expansion once brought fortune to Mildar, yet the mines were now depleted, and industry dwindled. Opportunistic industrialists plucked the very last resources as they departed, and the city was left with myriads of industrial waste. Expediency is only human nature, and it explains why the citizens migrated to other cities after the economic recession and the abrupt environmental change. Of course, some stubborn people stayed behind, and Elsu was one of them.As a native Mildarian, Elsu had a strong bond with the city. His parents died in a plague not long after he was born. Thankfully, Mildar was under rapid development and citizens had many social benefits, so Elsu was raised in an orphanage. He aspired to become a “City Guardian” in order to repay the city.With outstanding academic performance and excellent archery skills, Elsu became a decorated City Guardian. Even though he looked serious all the time, he was loved and respected by his comrades. His shots also never missed their targets during the war. In just 3 years, Elsu’s special team not only completed all military missions with excellent results, but also were praised by the Federal Council on various occasions.Therefore, when the authority decided to abandon Mildar, the Federal council issued an order to move this brilliant special team to handle more difficult scouting missions behind enemy lines. The second Darkness Invasion was winding down, and as a member of the Allied Powers, the Federation of the Free invested all they had into this epic war.“This is the greatest war in human history! Together with our allies, we will send those filthy devils back to the abyss!” Spirited, every solider participated in the war to fight for glory and honor.Except Elsu.“Do you know what you are doing? Look at the badge on your chest! You are betraying it!” Facing criticism from his comrades, Elsu seemed deflated, “I have sworn to protect this city until I die. I will keep my promise even though it is already in ruins. I’m sorry, but I’m afraid I can’t fight with you anymore.”The majority of the soldiers could not fathom Elsu’s emotional attachment to the city. Even though Elsu was ridiculed as “coward”, “chickenhearted” or “draft dodger”, he still insisted on leaving the military. His comrades departed Mildar angrily as Elsu watched them leave.“You don’t have to do this. Mildar is done for.” Moren, who also chose to stay, said to Elsu. After the war of Fort Alchemy, Moren returned to his hometown, Mildar.“Then, why did you come back?” asked Elsu.I'm old, you're young. Don't ask me why. Moren waved his hand and walked away.Everyone has a reason, thought Elsu as he watched his friends depart.“But if one day they are in trouble, I will protect them with everything I have!”",Elsu_image.jpg
Y'bneth,['tank'],"['Wicked Thorns', 'Branching Out', ""Nature's Realm""]","Time is fair, but also ruthless...Treefolk from the Elborne Woods are steadfast guardians of nature. Like normal trees, Treefolk are born weak saplings, but gradually grow to their impressive size by weathering tens to hundreds of years of relentless storms. Their lifespan gives them strong branches, lush leaves, and a calm, tranquil personality. Y'bneth, however, is an exception. He is a curious soul, always eager to learn.Be it fairies that speed past, the birds roaming the skies, beasts seeking food, or the swimming fish—Y'bneth wanted to befriend them all. He had visited every nook and cranny of the vast Elborne Woods, but he did not wish to stop there. The more he learned from his new friends, the less he realized he actually knew. Finally, the day came when he decided that it was time he ventured into the outside world.All other Treefolk considered him insane, and even the fairies found this decision a bit rash. The birds brought news from afar: humans were expanding their territory, often waging war against the beasts on the borders in order to fulfill their greed. The creatures hidden in the dark were getting ready to make their move as well. All in all, the world outside was not a peaceful one. Y'Beth began questioning his own choice. Should he follow his heart, or should he listen to his friends? The Tree of Dawn, he concluded, was the only one who could provide him with an answer.The Tree of Dawn was the greatest creation of the Creator Himself, as well as the perfect landmark for gods to use when returning to Athanor. It was a miracle that sealed the Rift between worlds, the origin of all life. For Y'bneth, visiting the Tree of Dawn was much like coming home to his mother. The Tree of Dawn had been slumbering for more than ten thousand years due to having spent all its energy sealing up the Rift, and all who wish to communicate with it must do so via its dreams. Treefolk have a natural advantage here—all they need to do is send their roots deep down into the earth underneath their feet, and they are able to connect with the Tree of Dawn easily through the all-encompassing underground network.Once Y'bneth explained the reason for his visit, he was brought into the Tree of Dawn's dream, where he experienced the dewy spring, the bright summer, the chilling autumn and the lonely winter. He saws all four seasons pass by, again and again, in an endless cycle. He saw so much, yet all this time the Tree of Dawn said not a word. That was the answer he was seeking: go with the flow of nature, and all will be well. Y'bneth, therefore, set off on his way. His friends gave up on trying to convince him otherwise, and even held a grand farewell ceremony for him. He received a parting gift from the Tree of Dawn as well—a branch from the legendary tree itself.Following the river, Y'bneth headed east on foot until he arrived at the Moonlit Plains, where servants of darkness had appeared from underground and began wreaking havoc on the beautiful land. The Moonlit Plains, once a thriving environment for flora and fauna, was now dying at an alarming speed. That is when it struck Y'bneth what the true purpose of his journey was. He pulled out the branch from the Tree of Dawn, and used it to cultivate a new forest on the Moonlit Plains, which he named Verno—protection in ancient Elvish.The lavish Verno Woods has brought the natural balance back to the world as well as become a shield that protects all from the raining arrows and blasting magic. With the birth of the Afata Alliance, the Verno Woods soon grew into an outpost for fighting off the dark invasion. Y'bneth's journey ended here—he travels no more and instead opts to stay in the Verno Woods, now his second home.The strategically advantageous location of the Verno Woods makes it a busy hub where travelers often pass by, an ideal situation for Y'bneth, who loves to listen to the travelers' stories. Here, he fulfills his dream to learn more about the world, while also fulfilling his destiny to protect the peace on the land—a destiny endowed upon him by the Tree of Dawn.I guard my home and all that lives within it!",Y'bneth_image.jpg
Annette,['support'],"['Gust Force', 'Wind Cuffs', 'Hurricane Wall']","Nightfall is when Annette's work of the day begins.Magic wand? Check. Crystal ball? Check. Energizing potions? Check—those had become a necessity ever since she nodded off that one time in the middle of the night. Fully prepared, Annette exited her minimalist but cozy attic and emerged under the starry night skies, where she silently surveyed the sleepy little seaside town.Seasoul Town is surrounded by the ocean on three sides. For the past few decades, typhoons and tsunamis had been abundant due to the weather changes brought by the currents and the Abyssal Rift. The fishermen had been praying for decades that the Magic Council would send over a powerful sorcerer to aid them, yet the few sorcerers remaining never had time for this border town with its meager population, especially when the frontline in the south was facing increasingly severe attacks. The town had, therefore, become a location for apprentice sorcerers to try their hand at magic instead.The fishermen here need me!Instead of choosing to intern with the Humans or in another prosperous city, Annette arrived alone at Seasoul Town. Having studied Wind Magic and Astrology, this apprentice sorcerer was an excellent choice for dealing with the weather problems. She was capable of spotting even the smallest signs in the complicated stars to predict typhoons, and could easily notify the fishermen to be prepared before weather disasters occurred.However, what the fishermen were really looking for was a legendary sorcerer who could repel disasters with their magic, which Annette was not—she couldn't technically even use her magic, in fact, for apprentices were not permitted to do so outside of Academy grounds. Therefore, instead of a respectable sorcerer, the fishermen saw Annette as a silly girl who spouted nonsense, even if her weather predictions over the past fifty days had always been on the spot, with only two incorrect forecasts marring her records.One of those errors occurred on a sunny day, where she predicted a storm. The fishermen, boats parked and windows barred, stayed inside for the whole day, until the sun came up the next morning, and they realized Annette was incorrect.The other time was when Annette fell asleep at midnight. The night sky showed signs of sunny weather before she dozed off, and she did not see the changes in the stars during her exhausted slumber. The storm came the next evening and the fishermen on their way back to shore were caught off guard, struggling in the waves with their boats of fresh catches. Fortunately, the storm was not a big one, and Annette was able to help a little to compensate for her mistake. It was a bit of a scare for everyone, but at least there were no casualties.The two mistakes, however, led to multiple complaints against Annette. As the Academy was an educational organization directly under the Council, it was important for them to uphold the honor and credibility of both the Council and the school itself. The professors, therefore, sent orders for Annette to return to school and retake her classes.As a result, this was Annette's final night at work.If you asked Annette, she didn't exactly like the idea of leaving. Though the attic she was staying in, hastily provided by poor fishermen, was much less comfortable than the Academy dorms, she felt at home there. What's more, before arriving in town, she promised herself to use her magic to help those in need, and she still hadn't quite fulfilled that promise yet.As a novice, Annette actually did quite a good job. Astrology is no simple subject, and a 4% error rate was rather impressive. However, Annette herself understood that a 4% error rate on paper was completely different from a 4% error rate in real life. To the fishermen, the 4% error rate could mean death.Gazing up into the night sky, dotted with stars big and small, Annette recalled the encounter years ago.It was night, and Annette was in the library. She was the only one there, besides a lady with kind eyes. She knew she had to study hard, for despite excelling in Magic Theory, she was failing her field courses, and failing badly. At the end of the semester, she was the only one in her entire class who still could not cast a proper magic spell. This, she was all too aware, could very well get her expelled.She tried to seek answers in books, but nothing seemed to help. Seeing the encouraging eyes of the lady, she finally decided to ask her for advice.I once had a friend who was horrible at Magic Theory—yet he's one of the best sorcerers I've ever met, the lady said.Annette stared, mouth agape.The woman smiled. Like you, I was shocked, so I spied on him to see how he usually practices his magic. And what do you think I saw? My friend was dancing in the flames, much like a fire-loving fairy. He danced with abandon, as if the flames were his whole world.True magic is not simply words. Burying yourself in books all day will not bring you closer to the truth. You should become friends with magic so that it is willing to help you when you need it.Years later, Annette finally found out the identity of that mystery woman at an award ceremony. Sephera was one of the founders of the Magic Council, and a legend. As Annette accepted the trophy from Sephera, the lady's wise words were replaying in her head: Become friends with magic, and use it to help the people in need.That was what originally brought Annette to Seasoul Town.All of a sudden, there seemed to be something going on in the stars. Annette watched on in horror when the darkest Death Star, for a brief second, shined pale purple and faded away again. Just a mere second, but Annette's sharp eyes managed to capture it. A tempest was brewing—a tempest born from the Rift far away and is gradually taking over the oceans.Ruthless. Deadly.My friend, I need your help now! With impending doom on the horizon, Annette opted to ignore the orders of the Academy. She hopped onto her broom and soared towards the storm like a fearless knight.The next morning, the fishermen awakened to see their boats in tatters. Annette laid on the ground, completely exhausted. Though the townspeople did not see Annette's courageous actions, they could still guess from the sight in front of them what she had been through the previous night. What a great sorcerer! they said. Being ignorant, they had almost sent away their most loyal ally—but luckily she was still right here with them.There was still time, though, to repent.The apprentice sorcerer, there to replace Annette, was told to leave by the fishermen. He had no idea what was happening, but the Mayor gave him a handwritten letter of gratitude, complete with the handprints of all the fishermen, to bring back to the Academy. The Mayor not only praised Annette for what she had done, but also recommended that the Academy promote her to the role of Official Sorcerer.He also revealed another piece of news: the fishermen of Seasoul were planning to build a magical spire for Annette. They were but a small town lacking funds and manpower, yet they still pledged to see this project through even if it would take three generations to complete, for Annette had already promised them that she was there to stay for good.Now, whenever the Mayor mentions Annette in letters, he adds a title to convey his respect.Lord Annette.",Annette_image.jpg
Airi,['assassin'],"['Spin', 'Shadow', 'Ryuu']","Dragons dwelled inside the body of their newest descendant, Airi the Kunoichi. Her every breath seemed to exhibit the power of dragons.Many ninja clans had only come into existence recently, but the mysterious Steel Dragons had been around for generations. This reclusive clan of ninjas loyally protect the peace and tranquility of the realm using the power of the ancient dragons. As the leader of a new generation of ninjas, Airi had not only inherited the title of Kunoichi, her incredible talents had also earned the approval of the Ancient Dragon. She has been bestowed with the almighty Dragon's Mark as well.As night engulfed day, the elite Ninjas led by Airi rushed to save the Temple of Light from the evil forces that surrounded it. Using her shadow clone ability, Airi passed with ease through the savage bombardment of black magic. The iron wall made up of thousands of Fallen crumpled beneath her feet. She transformed herself into a sharp blade and hurled herself straight at Maloch, the commander of the Demon Army, leaving a bloody trail of corpses in her wake.Airi took more and more wounds as she fought her way towards Maloch. By the time she finally reached him, she had defeated nearly all of his demon guards. Airi was punished for her actions with three more mortal wounds. With her strength depleted, Airi realized that she wouldn't stand a chance in a drawn-out battle, so she activated the last bit of power in her Dragon's Mark, raised her blade and sliced at Maloch. In that moment, Maloch was unable to lift his own weapon. He was so overcome by the unleashed dragon spirit that he could only use his demon wings to shield himself from Airi's attacks.The blade rose and fell. Blood hotter than lava gushed out from a wound in Maloch's chest and the impregnable demon wings were tattered. The force from Airi's blade had completely stripped the invincible commander of his combat abilities. Maloch was forced to return to the demon abyss to recover and, in turn, left the demon army their demise.Airi's determination, demonstrated in this battle, immediately earned her the respect of everyone. Even the most despicable of demons could not hide their fear of Airi's blade.",Airi_image.jpg
Aleister,['mage'],"['Magic Barrier', 'Matrix of Woe', 'Magic Prison']","We might not be able to take care of the problem, but we can take care of the person who brought it up.People may have forgotten that Aleister, the infamous crook, was once a candidate for the Temple of Light. With Yorn the Hotshot, they were hailed as the Sons of Light at the time and had the most potential to be fully inducted into the Temple. Despite Aleister's intelligence, he didn't possess a strong will and he fell into the darkness due to Veera's charm.Though on a different note, Aleister's brilliance had a huge impact on the war. His endless tricks and traps helped the Fallen to defeat the resistance forces time after time.To eliminate the master think tank behind the dark power, Yorn left glory behind and led an elite team deep into enemy territory to assassinate Aleister. His near-perfect plan was foiled by Aleister, who turned the tables on him and nearly trapped him in the abyss forever.Are you smart enough to go up against me?",Aleister_image.jpg
Alice,['support'],"['Sunshine', 'Friendship', 'Hissy Fit']","Alice was the youngest maiden to ever serve in the temple, which was why she was allowed to refuse work and spend her days frolicking with all manner of innocent creatures. The other maidens doted on her, akin to a mother's love for her child.As childlike and innocent as she was, the word fear was not understood by her. Even in the presence of the temple leader, she did not hold back her playfulness. The smile that she shared with everyone from the bottom of her heart never failed to win people over.But it would be foolhardy to underestimate her because of her kind-hearted nature. When the Fallen invaded, Alice left the temple and joined the resistance. Her participation, skill, and magic, greatly bolstered the army's combat strength. With her outstanding contribution, Alice received the title of The Princess.Don't get on the wrong side of this little princess.This warning was always wise to bear in mind. Indeed, all of the enemies that Alice defeated serve to underpin this advice, further proving her prowess. If you were fortunate enough to witness Alice during battle, you would be amazed at how one so small can unleash such a godly force with cataclysmic effects.There is no bravery without fear!",Alice_image.jpg
