Name,Type,Skills,Bio,File_name
Aatrox ,Fighter Tank,"['Deathbringer Stance', 'The Darkin Blade', 'Infernal Chains', 'Umbral Dash', 'World Ender']","One of the few who took up the mantle of the Eclipse Knights in the days of old, Aatrox hopelessly pined for Kayle's affections… but she could only ever love the blazing sun. When she devoured it, the entity's lunar corona consumed him. He exists now as Kayle's monstrous, once-noble shadow, ever at her side.",aatrox_image.png
Ahri ,Mage Assassin,"['Essence Theft', 'Orb of Deception', 'Fox-Fire', 'Charm', 'Spirit Rush']","A trickster and magician whose power is drawn from the grinning moon, Ahri plies her trade rearranging patterns and allowing the Lower World insight into the Higher. Having already set the fated pair Xayah and Rakan careening towards each other, she awaits the resulting chaos with a cynical bemusement.",ahri_image.png
Akali ,Assassin,"[""Assassin's Mark"", 'Five Point Strike', 'Twilight Shroud', 'Shuriken Flip', 'Perfect Execution']","On-again off-again co-captain of a new generation of Star Guardians, Akali's skill in battle is shadowed by her growing realization that the Oath she swore has condemned her to die. Though she fights for the light with all her heart, she finds that darkness is just as powerful... perhaps, even more so...",akali_image.png
Akshan ,Marksman Assassin,"['Dirty Fighting', 'Avengerang', 'Going Rogue', 'Heroic Swing', 'Comeuppance']","As roguish as he is handsome, Akshan abandons his daring adventures each year to make a highly-requested appearance at the festival. He might be seen stealing a dance or two, but he only has eyes for one among the crowd. Their moral… discrepancies are no match for the electrifying chemistry between them.",akshan_image.png
Alistar ,Tank Support,"['Triumphant Roar', 'Pulverize', 'Headbutt', 'Trample', 'Unbreakable Will']","The leader of Ox Clan, Alistar keeps his stubborn squad in line with his reliability and gruff approval. A bit quick to anger with some squad members' bull-headedness, he's determined that nothing and no one will derail this Lunar New Year festival, or Ox Clan's plan to make it a flawless celebration.",alistar_image.png
Amumu ,Tank Mage,"['Cursed Touch', 'Bandage Toss', 'Despair', 'Tantrum', 'Curse of the Sad Mummy']","Eternally young due to his bond with the Rat Relic, Amumu's innocence belies centuries of existence. He's been lonely in ages past, but no more: Lux is like his big sister, and Kindred is his… Kindred? Companionship hasn't stopped his occasional tantrums, of course, but at least now there's someone to shine his porcelain eyes after a nice cathartic cry.",amumu_image.png
Anivia ,Mage Support,"['Rebirth', 'Flash Frost', 'Crystallize', 'Frostbite', 'Glacial Storm']","Enchanted by LeBlanc herself, Batnivia flies along with a coven of witches, shrouding the night sky in darkness and chaos. Though she was once an ordinary bat, Leblanc sensed the spirit of the season in her; now she helps to spread terror to the children below and glee to the partygoers who follow her flight.",anivia_image.png
Annie ,Mage,"['Pyromania', 'Disintegrate', 'Incinerate', 'Molten Shield', 'Summon: Tibbers']",Awful Orphan Annie comes home from school each dayA lonely little lady with whom no one will playNow all her family's fled (or dead or gone away)She can depend on Mr. Tibbers to make her new friends stay!,annie_image.png
Aphelios ,Marksman,"['The Hitman and the Seer', 'Weapons of the Faithful', 'Calibrum, the Sniper Rifle', 'Moonshot', 'Severum, the Scythe Pistol', 'Onslaught', 'Gravitum, the Gravity Cannon', 'Binding Eclipse', 'Infernum, the Flamethrower', 'Duskwave', 'Crescendum, the Chakram', 'Sentry', 'Phase', 'Weapon Queue System', 'Moonlight Vigil']","Ionians share whispered stories of the twin spirits of the night, Aphelios and Alune. It is said the darkening of the sky comes from the brother's armaments, tearing the fabric of blues and whites apart to create an obsidian canvas painted with stars. The sister's motives are more... mysterious.",aphelios_image.png
Ashe ,Marksman Support,"['Frost Shot', ""Ranger's Focus"", 'Volley', 'Hawkshot', 'Enchanted Crystal Arrow']","As the CEO of the hot clothing company Frel, Ashe is dead tired after spending a year heads-down in work with little sun at her Northern headquarters. The Ocean Song Festival sounds like the perfect place for her to warm up, disappear into a crowd, and lose herself to some fabulous music.",ashe_image.png
Aurelion Sol ,Mage,"['Center of the Universe', 'Starsurge', 'Celestial Expansion', 'Comet of Legend', 'Voice of Light']","The dragon Aurelion Sol, known to seven generations of worshippers as Ao Shin, has long awaited the ascent of a warrior worthy of receiving the power of the storm. Now, with Lee Sin's transformation into the Dragonmancer, Ao Shin has directed his impossible power towards purging the world of evil.",aurelion-sol_image.png
Azir ,Mage Marksman,"[""Shurima's Legacy"", 'Conquering Sands', 'Arise!', 'Shifting Sands', ""Emperor's Divide""]",Celebrating Worlds 2022 in North America.,azir_image.png
Bard ,Support Mage,"[""Traveler's Call"", 'Cosmic Binding', ""Caretaker's Shrine"", 'Magical Journey', 'Tempered Fate']","Bard is a wandering wordless connoisseur of the finest cafes. If he leaves behind a blessing in the form of a teacup? A hundred years of sweet success. No one knows where the Teapot Troubadour came from, or if he has a purpose beyond delighting in patisserie, but a visit from Bard instantly puts any cafe on the map!",bard_image.png
Bel'Veth ,Fighter,"['Death in Lavender', 'Void Surge', 'Above and Below', 'Royal Maelstrom', 'Endless Banquet']","True final boss of the hit 1998 RPG ""Initial Reverie VIII,"" Bel'Veth has become a staple of the series thanks to fan popularity and her storyline about assimilating all of reality into herself. Recruited into the war in Arcadia by Veigar, she has decided to ignore his commands, annihilate everything in her path, and assimilate all of Arcade World into herself. Who could have seen it coming?",bel-veth_image.png
Blitzcrank ,Tank Fighter,"['Mana Barrier', 'Rocket Grab', 'Overdrive', 'Power Fist', 'Static Field']","Originally a bomb defusal robot, Blitzcrank was made a referee because of their ability to make split-second adjustments to stay ahead of the prodigious athletes. Only later did everyone realize that the bot's background made them unusually effective in defusing the intense... disagreements that often arise.",blitzcrank_image.png
Brand ,Mage,"['Blaze', 'Sear', 'Pillar of Flame', 'Conflagration', 'Pyroclasm']","With a blisteringly fashionable custom suit, the plans for which he burned, Brand stands on the precipice of something he has long thought beyond his reach: defeating his rivals and standing atop the greatest aristocrats in the world.",brand_image.png
Braum ,Support Tank,"['Concussive Blows', ""Winter's Bite"", 'Stand Behind Me', 'Unbreakable', 'Glacial Fissure']","Braum's tiki lemonades are a lot like him—tall, sweet, and very popular with poros. Even the Boss is willing to wait his turn to get a glass!",braum_image.png
Caitlyn ,Marksman,"['Headshot', 'Piltover Peacemaker', 'Yordle Snap Trap', '90 Caliber Net', 'Ace in the Hole']","A tool of chilling acuity, Caitlyn is the Snow Moon's most elite sniper. It was her craving for a calculating nature, stripped of the moorings of sympathy, that drew her to serve. There was once warmth in her heart; in dreams, she sees a figure, wild and untamed, in a world not meant for her.",caitlyn_image.png
Camille ,Fighter Tank,"['Adaptive Defenses', 'Precision Protocol', 'Tactical Sweep', 'Hookshot', 'Wall Dive', 'The Hextech Ultimatum']","There are few truly “veteran” soldiers in the galaxy, and those who make it far enough to earn the title have done so for a reason. As commander of RSM's newly minted Strike Team Hyperion, Camille is ruthless, calculating, and fierce, bringing to bear the full power of the Y03-Principality on any target unlucky enough to end up in her sights.",camille_image.png
Cassiopeia ,Mage,"['Serpentine Grace', 'Noxious Blast', 'Miasma', 'Twin Fang', 'Petrifying Gaze']","Cassiopeia found herself on the receiving end of a potion gone wrong when a venomous viper slithered into her bubbling cauldron. No longer able to ride her broom, she skulks about the party, hoping to catch the eyes of unsuspecting socialites. With the tail of a snake came… its appetite.",cassiopeia_image.png
Cho'Gath ,Tank Mage,"['Carnivore', 'Rupture', 'Feral Scream', 'Vorpal Spikes', 'Feast']","A mythical, titanic beast painted within the mysterious Shan Hai Scrolls, whose gluttony resulted in eternal karmic punishment, Cho'gath has seized upon the Scrolls' connection to the multiverse and plans to devour both his own world and then all others.",cho-gath_image.png
Corki ,Marksman,"['Hextech Munitions', 'Phosphorus Bomb', 'Valkyrie', 'Special Delivery', 'Gatling Gun', 'Missile Barrage']","Commander Corki is both a veteran of the space program and its fearless leader. After traveling to a new and undiscovered planet with his intrepid crew, he befriended a stray alien meep that became his assistant and ally in exploring the galaxy. Together they fly, holding off the encroaching invasion of evil purple meeps that threaten the cosmos.",corki_image.png
Darius ,Fighter Tank,"['Hemorrhage', 'Decimate', 'Crippling Strike', 'Apprehend', 'Noxian Guillotine']","Darius' body fell to the dirt, yet another soldier's sacrifice. But his soul would not rest. Picking up his axe just as soon as it was knocked from his mortal hand, the Spirit of War arose. A calamity motivated only towards bloodshed, Darius stalks the mortal world, searching for the thrill of battle.",darius_image.png
Diana ,Fighter Mage,"['Moonsilver Blade', 'Crescent Strike', 'Pale Cascade', 'Lunar Rush', 'Moonfall']","Market stalls offer the Lady of the Moon their wares freely, in hope of receiving a blessing for the New Year. Diana is happy to oblige, even if it means getting stopped every few feet by another well-wisher… Luckily, Diana's festival buddies are patient.",diana_image.png
Dr. Mundo ,Fighter Tank,"['Goes Where He Pleases', 'Infected Bonesaw', 'Heart Zapper', 'Blunt Force Trauma', 'Maximum Dosage']","Once a handsome prince from an outlying region of the Winterlands, Mundo was touched by the curse of Ice King Twitch—corrupting him into a brutish thrall. He's still convinced he's the same statuesque royal as before, and as such… goes where he pleases.",dr-mundo_image.png
Draven ,Marksman,"['League of Draven', 'Spinning Axe', 'Blood Rush', 'Stand Aside', 'Whirling Death']","Draven's vivid violence gives everyone a frightHide 'n' seek is higher stakes these days at night“There's no escape for you,” he cackles with delightBut say his name three times with praise, and he might forget the fight!",draven_image.png
